"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1959/1960","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1114799","","","","0"
"1960/1961","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1274064","","","","0"
"1961/1962","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1439373","","","","0"
"1962/1963","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1740786","","","","0"
"1963/1964","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1804701","","","","0"
"1964/1965","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","1985700","","","","0"
"1965/1966","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","2325326","","","","0"
"1966/1967","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","2698848","","","","0"
"1967/1968","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","3139720","","","","0"
"1968/1969","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","3682334","","","","0"
"1969/1970","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","4156130","","","","0"
"1970/1971","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","4737562","","","","0"
"1971/1972","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","5238745","","","","0"
"1972/1973","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","5450448","","","","0"
"1973/1974","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","6048315","","","","0"
"1974/1975","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","6938434","","","","0"
"1975/1976","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","8054910","","","","0"
"1976/1977","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","9736190","","","","0"
"1977/1978","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","11124858","","","","0"
"1978/1979","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","11558607","","","","0"
"1979/1980","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","12765469","","","","0"
"1980/1981","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","14041268","","","","0"
"1981/1982","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","16099851","","","","0"
"1982/1983","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","17862443","","","","0"
"1983/1984","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","18953298","","","","0"
"1984/1985","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","19638427","","","","0"
"1985/1986","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","20642231","","","","0"
